Precinct Name,Carson_Ben,Fiorina_Carly,Christie_Chris,Trump_Donald,Bush_Jeb,Gilmore_Jim,Kasich_John,Graham_Lindsey,Rubio_Marco,Huckabee_Mike,Cruz_Ted,Paul_Rand,Santorum_Rick,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,
317 - OLD ARCOLA VFD,22,1,1,213,0,0,80,0,271,0,88,0,1,87,153,2,
401 - WEST LOVETTSVILLE,44,2,0,245,1,0,72,0,264,1,206,2,0,212,221,5,
402 - WATERFORD,36,1,1,238,2,0,90,0,238,0,119,1,0,144,178,4,
403 - LUCKETTS,35,1,2,275,2,1,105,0,276,0,153,0,2,163,250,2,
407 - HARPER PARK,10,0,0,104,6,0,40,1,181,0,62,2,0,105,182,0,
408 - EVERGREEN,44,3,0,142,3,1,43,0,177,0,88,3,0,151,217,1,
409 - CLARKES GAP,42,0,0,285,4,1,96,0,321,0,136,1,2,150,200,0,
411 - EAST LOVETTSVILLE,36,0,0,170,1,0,47,0,181,0,174,3,1,165,156,2,
413 - TUSCARORA,2,0,0,5,0,0,8,0,15,0,6,0,0,16,9,0,
414 - RED ROCK,11,0,0,95,0,0,29,0,156,0,58,1,0,101,151,5,
416 - HAMILTON,56,2,0,278,3,0,116,0,384,2,184,1,1,220,267,2,
419 - J. L. SIMPSON,33,2,1,257,1,1,77,0,351,0,111,5,0,109,168,4,
420 - RIVER CREEK,27,1,1,237,4,0,109,0,276,0,99,0,1,97,257,2,
421 - BETWEEN THE HILLS,9,0,0,41,0,0,4,0,33,0,20,0,0,20,24,0,
501 - WEST LEESBURG,34,1,0,155,2,0,92,0,237,0,87,4,0,245,281,14,
502 - EAST LEESBURG,21,0,1,97,1,0,48,1,187,1,98,4,0,261,259,6,
503 - DRY MILL,22,0,0,85,3,1,53,1,137,1,46,2,1,116,127,4,
504 - SMARTS MILL,23,0,1,143,1,0,75,0,252,0,101,4,0,246,248,4,
505 - COOL SPRING,20,1,0,224,3,0,88,0,367,1,146,1,0,181,266,5,
506 - BRANDON PARK,14,0,0,84,0,0,17,0,124,0,49,1,0,125,144,3,
507 - GREENWAY,20,0,0,119,2,0,50,0,178,1,44,2,0,126,142,8,
508 - BALLS BLUFF,33,2,0,198,5,0,79,1,258,0,96,6,0,201,252,2,
509 - TOLBERT,18,1,0,140,4,0,61,0,203,1,72,1,1,186,307,2,
510 - HERITAGE,28,0,0,141,1,0,71,0,222,0,83,0,0,96,160,1,
615 - HILLSIDE,19,2,2,189,1,0,116,0,315,1,80,2,0,192,257,1,
616 - EAGLE RIDGE,10,0,0,170,4,0,93,0,364,0,77,1,0,158,256,2,
617 - OAK GROVE,5,0,0,27,0,1,17,0,58,0,14,1,0,80,146,1,
619 - RIDGETOP,7,0,0,37,0,1,7,0,45,0,18,0,0,84,114,1,
620 - RUSSELL BRANCH,31,0,0,238,1,0,104,0,316,1,118,1,0,235,327,0,
621 - DOMINION TRAIL,31,2,0,187,5,0,93,0,351,1,80,4,0,245,331,1,
622 - FARMWELL STATION,24,0,0,156,1,0,88,0,246,4,74,0,0,174,381,4,
623 - WELLER,18,1,0,160,0,0,80,2,251,0,68,0,0,107,280,2,
625 - MILL RUN,9,0,1,98,3,0,51,0,178,0,46,1,0,69,113,1,
626 - ASHBY PONDS,9,2,1,90,4,0,111,3,152,1,38,0,0,29,230,2,
627 - ASHBROOK,9,1,1,94,0,0,42,0,124,0,44,1,0,151,206,3,
628 - MOOREFIELD STATION,18,0,0,123,2,0,46,0,177,0,63,2,0,174,222,1,
629 - DISCOVERY,9,0,0,36,0,0,12,0,66,0,21,1,0,50,60,0,
701 - SULLY,36,0,0,140,6,1,20,0,171,1,78,3,0,174,259,3,
702 - PARK VIEW,27,0,0,131,2,2,23,1,103,0,60,0,0,165,231,4,
703 - ROLLING RIDGE,18,1,0,105,3,0,37,1,132,0,65,2,0,254,288,3,
705 - FOREST GROVE,25,1,1,215,4,0,60,1,193,1,96,4,1,232,348,5,
707 - CLAUDE MOORE PARK,15,0,1,77,0,0,30,0,128,0,48,6,0,146,228,1,
708 - SENECA,11,0,1,154,2,0,68,0,200,0,90,2,0,147,217,2,
709 - MIRROR RIDGE,24,0,1,102,3,0,33,0,134,2,71,3,0,222,273,3,
710 - STERLING,16,0,0,105,2,0,28,0,129,1,55,2,0,159,178,3,
808 - STONE BRIDGE,41,0,3,237,1,1,101,0,396,1,127,0,1,272,317,5,
810 - CEDAR LANE,31,0,0,174,2,0,79,0,262,0,71,2,1,204,263,2,
813 - SELDENS LANDING,14,0,0,113,2,0,52,0,137,0,63,0,0,162,210,0,
814 - NEWTON - LEE,26,0,0,267,2,1,112,1,355,0,71,1,1,121,294,0,
815 - BELMONT RIDGE,26,0,0,195,0,0,109,0,267,0,63,1,0,121,407,3,
817 - SANDERS CORNER,43,1,0,224,4,0,102,1,374,0,147,5,0,232,316,1,
818 - BROAD RUN,18,0,0,145,4,0,72,0,232,0,85,1,0,136,224,1,
819 - HERITAGE CHURCH,24,1,0,148,1,0,63,0,227,0,88,1,1,136,213,3,
820 - BELMONT STATION,17,0,0,136,2,0,52,0,227,0,92,0,0,149,232,4,
822 - RIVERSIDE,18,2,2,113,0,0,63,0,173,0,58,1,0,104,198,2,
101 - ZION,31,1,2,165,0,0,45,0,187,1,131,3,0,95,194,0,
102 - MECHANICSVILLE,14,0,0,123,2,1,16,0,64,0,59,1,0,67,104,1,
201 - LOUISA #1,25,0,0,119,0,0,20,1,108,0,50,0,1,63,79,1,
202 - LOUISA #2,16,0,2,136,3,0,16,0,85,0,59,0,1,75,102,2,
301 - PATRICK HENRY NO 1,32,0,0,148,0,3,11,0,122,4,100,1,0,106,313,1,
302 - PATRICK HENRY #2,6,0,0,48,0,0,2,0,29,0,27,0,0,32,59,0,
401 - MINERAL,24,1,1,284,0,0,22,0,136,0,100,2,1,56,129,0,
402 - YANCEYVILLE,6,0,1,57,2,0,2,1,42,1,40,0,0,60,51,0,
501 - FREDERICKS HALL,12,0,0,76,0,0,16,0,31,0,22,1,0,30,82,0,
502 - CUCKOO,17,0,0,115,1,0,8,0,58,1,63,1,0,32,68,0,
503 - ELK CREEK,6,0,0,124,0,0,35,0,70,0,37,1,0,17,52,0,
601 - BUMPASS,33,0,0,170,2,0,15,0,67,0,90,0,0,38,53,0,
602 - LOCUST CREEK,36,1,0,189,0,0,11,0,72,0,124,1,0,41,83,1,
701 - SHELTONS MILL,21,2,1,163,2,0,11,0,90,1,132,2,1,54,112,1,
702 - SOUTH ANNA,24,0,0,124,0,0,12,0,91,0,64,0,0,50,82,1,
101 - PLYMOUTH,32,0,0,86,0,0,7,0,62,0,25,0,0,20,36,0,
201 - BROWNS STORE,24,1,0,92,0,0,5,0,55,0,19,1,0,14,67,1,
301 - ROSEBUD,16,0,0,60,0,1,7,0,20,0,22,0,0,5,25,1,
302 - FLAT ROCK,19,0,0,53,0,0,3,0,23,0,9,0,0,6,52,1,
401 - ARROWHEAD GUN CLUB,4,0,0,38,0,0,3,0,20,0,7,0,0,12,22,0,
402 - PLEASANT GROVE,26,0,0,58,0,0,3,0,18,0,36,0,0,13,44,0,
501 - REEDY CREEK,7,1,0,38,0,0,0,0,14,0,12,0,0,10,88,0,
502 - PEOPLES COMMUNITY CENTER,6,0,0,26,0,0,0,0,7,0,16,0,0,13,141,0,
601 - HOUNDS CREEK,16,0,0,69,0,0,1,0,22,0,8,0,0,25,151,1,
701 - MEHERRIN FIRE DEPARTMENT,5,0,0,50,1,0,4,0,18,0,6,0,0,8,46,0,
702 - VICTORIA PUBLIC LIBRARY,12,0,0,51,1,0,1,0,29,0,17,0,0,11,48,0,
001 - OAK PARK,18,0,0,94,0,0,15,0,48,1,51,0,0,38,93,0,
