County,Bush_Jeb,Carson_Ben,Christie_Chris,Cruz_Ted,Fiorina_Carly,Graham_Lindsey,Gray_Elizabeth,Huckabee_Mike,Kasich_John,Paul_Rand,Rubio_Marco,Santorum_Rick,Trump_Donald,Clinton_Hillary,De La Fuente_Rocky,Hawes_Calvis,Judd_Keith,Locke_Star,O'Malley_Martin,Sanders_Bernie,Wilson_Willie
Collingsworth,8,61,2,266,0,0,0,1,9,1,66,0,153,36,0,0,0,0,0,24,1
Colorado,22,100,3,"1,957",1,0,1,2,98,6,470,4,"1,079",474,2,1,1,2,1,150,3
Comal,333,"1,176",36,"13,010",27,5,12,44,"1,044",61,"5,101",14,"7,537","3,112",11,3,6,5,15,"2,027",10
Comanche,36,139,13,"1,385",3,3,1,12,42,8,317,0,909,221,1,3,1,0,3,117,2
Concho,9,48,2,280,2,0,0,4,21,1,75,2,221,27,0,0,0,1,0,11,0
Cooke,101,397,7,"4,143",9,1,1,15,253,22,987,4,"2,692",449,2,0,4,0,4,334,3
Coryell,155,412,14,"3,331",8,4,5,20,228,28,884,9,"2,404","1,010",5,5,4,1,4,577,6
Cottle,0,16,0,170,1,11,0,2,4,1,14,1,81,27,1,0,0,0,1,18,0
Crane,47,51,2,468,1,1,0,3,11,6,169,1,250,62,4,0,1,1,0,24,2
Crockett,3,14,0,83,0,0,0,0,2,0,28,0,50,266,65,9,54,12,34,240,25
Crosby,4,51,0,353,0,0,0,0,22,1,86,0,184,131,1,0,0,0,2,91,0
Culberson,0,2,0,36,0,0,0,0,1,1,9,0,31,358,32,1,3,2,13,160,7
Dallam,11,56,1,390,1,0,1,6,13,2,89,2,255,24,1,0,0,0,1,13,0
Dallas,"2,171","5,907",157,"61,304",206,95,42,223,"13,787",416,"46,250",85,"43,469","113,664",243,54,87,96,438,"44,275",229
Dawson,52,119,2,943,4,1,1,14,47,5,380,4,516,92,2,0,2,1,0,34,0
Deaf Smith,20,98,8,993,1,0,1,10,75,4,301,1,424,200,7,1,0,0,1,86,0
Delta,15,59,1,553,0,0,0,3,24,1,133,0,451,110,1,0,0,0,0,51,0
Denton,"1,042","4,015",100,"39,453",91,20,20,126,"4,789",279,"21,036",40,"24,382","16,491",30,13,17,11,143,"15,781",20
Dewitt,53,107,7,"1,774",2,2,0,4,78,12,368,2,"1,124",293,2,2,0,0,4,113,3
Dickens,16,49,0,267,2,1,0,4,5,1,54,0,165,13,0,0,1,0,0,11,0
