Town,Sanders_Bernie,Clinton_Hillary,O'Malley_Martin,De La Fuente_Rocky,Bush_Jeb,Christie_Chris,Rubio_Marco,Trump_Donald,Kasich_John,Paul_Rand,Cruz_Ted,Santorum_Rick,Fiorina_Carly,Carson_Ben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Hero,216,37,1,0,5,0,29,53,52,0,13,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northfield,736,128,1,1,5,1,112,174,178,1,43,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norton,23,6,0,0,1,0,3,8,8,0,3,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich,1020,405,2,0,5,1,38,46,110,0,12,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,133,8,1,0,5,3,23,49,24,4,15,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orwell,174,32,0,0,1,2,33,63,66,1,21,0,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panton,116,17,1,0,1,1,27,30,26,0,7,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawlet,285,31,0,1,0,0,33,69,48,1,17,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacham,166,24,0,0,4,1,22,24,40,1,10,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,83,16,0,0,1,1,5,12,16,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsfield,107,10,0,0,0,0,13,27,25,0,2,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsford,381,68,0,0,9,0,78,147,118,0,33,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plainfield,312,28,0,0,2,2,13,26,32,0,8,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plymouth,114,27,0,0,2,0,8,39,20,0,6,0,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomfret,235,55,0,0,4,1,16,19,43,0,3,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poultney,449,78,0,1,3,1,68,137,75,2,31,1,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pownal,469,105,2,1,4,1,49,158,46,2,35,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proctor,329,27,2,0,4,1,57,83,73,0,20,7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Putney,734,80,1,0,4,1,29,45,28,0,8,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randolph,906,85,2,0,11,3,91,126,152,3,39,0,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,163,28,0,0,1,0,6,35,22,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readsboro,112,41,0,0,2,0,14,58,16,0,14,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richford,258,31,2,1,2,1,25,70,27,1,8,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,1125,146,1,0,8,4,109,120,128,4,46,1,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ripton,189,26,0,0,0,0,4,13,10,1,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rochester,294,28,1,0,1,0,19,25,45,3,1,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockingham,1020,134,2,2,9,3,44,141,90,5,33,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxbury,173,14,0,0,2,0,7,22,19,1,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
